names,genre,date_x,score
Seoul Vibe,Action| Crime| Comedy| Adventure,2022,"6,7"
One Week Friends,Drama,2022,"5,2"
Space Jam: A New Legacy,Family| Animation| Comedy| Science Fiction,2021,"6,9"
Nobody,Action| Crime| Thriller,2021,"8,1"
The Tiger's Nest,Family| Adventure,2022,7
Naruto Shippuden the Movie,Animation| Action| Fantasy,2007,"7,2"
Terrifier,Horror| Thriller,2016,"6,6"
In the Forest,Horror| Thriller,2022,6
The Amazing Spider-Man,Action| Adventure| Fantasy,2012,"6,7"
Evil Dead,Horror,2013,"6,5"
El asistente,Comedy,2023,10
Virus:32,Horror,2022,"6,9"
Linoleum,Science Fiction| Comedy| Drama,2023,"6,8"
After We Collided,Romance| Drama,2021,"7,2"
